               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062317,            0.027842,            0.030494,           0.0026488,                0.65,            0.012464,           0.0037426,            0.023979,            0.012674,            0.014465,               0.082,               0.002,               0.002
                   1,            0.048756,            0.026923,            0.030122,             0.11691,               0.375,              0.2146,             0.12421,             0.01368,            0.011053,            0.016742,            0.063073,           0.0040729,           0.0040729
                   2,            0.037047,            0.022154,            0.027806,             0.24856,             0.69709,              0.2928,             0.18097,             0.01597,            0.007472,            0.016357,            0.044118,           0.0061182,           0.0061182
                   3,            0.037698,            0.019064,            0.026681,             0.34729,             0.50735,             0.37673,             0.20122,            0.018692,           0.0060153,            0.014728,            0.025136,           0.0081357,           0.0081357
                   4,            0.036146,            0.018985,            0.022341,             0.27925,               0.575,             0.44335,              0.2696,            0.017017,           0.0063955,            0.011813,            0.009736,            0.009736,            0.009736
                   5,            0.033602,            0.016619,            0.020493,             0.66254,             0.54435,             0.61354,             0.35267,            0.010729,           0.0086597,            0.013678,            0.009736,            0.009736,            0.009736
                   6,            0.031332,            0.016706,             0.01985,             0.76824,               0.225,             0.45598,             0.30273,             0.01645,           0.0060562,             0.01947,             0.00967,             0.00967,             0.00967
                   7,            0.027451,            0.015999,            0.016504,             0.66488,                 0.7,             0.68135,              0.3596,            0.013628,           0.0060176,           0.0067108,            0.009604,            0.009604,            0.009604
                   8,            0.030423,            0.016957,            0.019505,             0.43681,             0.76229,             0.61488,             0.26081,            0.013224,           0.0067111,           0.0072357,            0.009538,            0.009538,            0.009538
                   9,            0.027349,            0.014748,            0.016102,             0.35659,             0.58602,             0.54189,             0.22991,             0.01478,           0.0057878,           0.0074615,            0.009472,            0.009472,            0.009472
                  10,             0.02574,            0.015633,            0.014631,             0.50432,                0.85,             0.78346,             0.45996,           0.0090384,           0.0057734,           0.0067245,            0.009406,            0.009406,            0.009406
                  11,            0.025943,            0.014683,            0.015103,             0.60298,             0.69371,             0.64654,             0.28822,           0.0090998,           0.0053306,           0.0074158,             0.00934,             0.00934,             0.00934
                  12,            0.024308,             0.01366,            0.012757,             0.63504,                0.95,             0.80439,             0.44651,           0.0095562,           0.0047487,           0.0061646,            0.009274,            0.009274,            0.009274
                  13,             0.02272,            0.015138,            0.013763,             0.69502,             0.83135,             0.89108,              0.4918,           0.0099543,           0.0051197,           0.0054123,            0.009208,            0.009208,            0.009208
                  14,            0.022907,            0.014647,            0.012328,             0.57851,             0.77345,             0.67078,             0.43606,           0.0089107,           0.0071746,           0.0054871,            0.009142,            0.009142,            0.009142
                  15,            0.023862,            0.014416,            0.012172,             0.71149,             0.77084,             0.79473,              0.5042,           0.0083692,           0.0044906,           0.0064713,            0.009076,            0.009076,            0.009076
                  16,            0.022076,            0.014008,            0.010925,             0.76254,             0.87263,             0.89875,               0.486,           0.0090626,           0.0048212,           0.0047409,             0.00901,             0.00901,             0.00901
                  17,            0.020483,            0.013785,            0.010958,              0.7177,             0.82631,             0.91251,             0.60242,           0.0076631,           0.0049117,           0.0048264,            0.008944,            0.008944,            0.008944
                  18,            0.020796,            0.014201,            0.011122,             0.86165,             0.86886,              0.9269,             0.51961,           0.0081312,           0.0048297,           0.0041702,            0.008878,            0.008878,            0.008878
                  19,            0.020247,            0.013484,            0.010865,              0.8803,             0.86768,             0.92369,             0.61961,           0.0092952,           0.0047179,           0.0053864,            0.008812,            0.008812,            0.008812
