               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10978,            0.028016,            0.038161,           0.0022812,             0.61785,           0.0039076,           0.0009649,            0.074034,             0.01966,            0.031705,              0.0874,              0.0014,              0.0014
                   1,             0.08911,            0.026438,            0.037753,           0.0029198,             0.82744,            0.011749,           0.0021211,             0.06808,            0.015275,            0.030995,            0.073871,           0.0028713,           0.0028713
                   2,             0.07841,            0.025129,            0.034186,            0.022498,             0.32609,            0.057536,            0.017746,            0.062946,            0.013299,            0.029553,            0.060313,           0.0043129,           0.0043129
                   3,            0.066212,            0.024177,            0.029782,           0.0030416,             0.89259,             0.04132,           0.0091548,            0.060321,            0.011546,            0.028793,            0.046725,           0.0057248,           0.0057248
                   4,            0.061368,            0.023765,            0.027116,            0.003291,              0.9463,             0.15772,            0.040961,            0.060616,            0.010086,            0.024543,            0.033107,            0.007107,            0.007107
                   5,             0.06066,            0.023265,            0.022946,           0.0033378,             0.86077,              0.1186,              0.0405,            0.066088,           0.0085289,            0.023966,            0.019459,           0.0084594,           0.0084594
                   6,            0.059681,            0.023824,            0.021202,             0.46821,             0.11061,             0.10629,            0.040807,            0.065123,           0.0097713,            0.020721,            0.009406,            0.009406,            0.009406
                   7,            0.058819,            0.022563,             0.01735,             0.42053,            0.092424,            0.091351,            0.029109,            0.061182,            0.009082,            0.023243,            0.009406,            0.009406,            0.009406
                   8,            0.056804,            0.021074,            0.015713,            0.069482,             0.11061,             0.09001,            0.023102,             0.05836,            0.010313,             0.01962,            0.009307,            0.009307,            0.009307
                   9,            0.059101,            0.020026,            0.013125,            0.048926,             0.22121,            0.080568,             0.02084,            0.062908,            0.010508,            0.028916,            0.009208,            0.009208,            0.009208
                  10,            0.061431,            0.022896,            0.011257,             0.39765,             0.18485,            0.062599,            0.015193,            0.057039,            0.012386,            0.026919,            0.009109,            0.009109,            0.009109
                  11,            0.063421,            0.020629,            0.011715,             0.07613,              0.2266,            0.061613,            0.016417,            0.059633,               0.014,            0.029532,             0.00901,             0.00901,             0.00901
                  12,            0.059429,            0.021719,            0.012496,            0.084651,              0.4032,            0.050742,            0.012591,            0.062614,            0.013214,            0.043148,            0.008911,            0.008911,            0.008911
                  13,            0.054841,            0.020769,            0.014261,            0.076277,             0.12989,            0.042851,            0.013414,            0.073396,           0.0098354,              0.0451,            0.008812,            0.008812,            0.008812
                  14,            0.054066,            0.019866,            0.012468,             0.37813,             0.15606,            0.080046,            0.031655,            0.058128,            0.013159,             0.01616,            0.008713,            0.008713,            0.008713
                  15,            0.056749,            0.022112,             0.01363,            0.099989,             0.12292,             0.12275,             0.04153,            0.064719,           0.0092536,            0.015375,            0.008614,            0.008614,            0.008614
                  16,            0.049807,            0.021465,             0.01158,             0.44412,             0.17273,              0.1201,            0.029985,            0.059705,           0.0097476,            0.025846,            0.008515,            0.008515,            0.008515
                  17,            0.052088,            0.021597,            0.012397,             0.15432,             0.42601,             0.13975,            0.036613,            0.061808,            0.011026,            0.017204,            0.008416,            0.008416,            0.008416
                  18,            0.052868,            0.021344,            0.012774,            0.056069,              0.3638,            0.046912,            0.013267,             0.06698,            0.010875,             0.01906,            0.008317,            0.008317,            0.008317
                  19,            0.052563,             0.02045,           0.0098923,            0.077192,              0.2431,            0.068479,            0.019832,            0.063424,            0.010101,            0.023867,            0.008218,            0.008218,            0.008218
                  20,            0.051201,            0.021192,           0.0075853,             0.14756,             0.21987,              0.1021,             0.02951,            0.056257,            0.010069,             0.02089,            0.008119,            0.008119,            0.008119
                  21,            0.056604,            0.020975,            0.011954,             0.10673,             0.28883,             0.09431,            0.031686,             0.06238,           0.0095987,            0.019721,             0.00802,             0.00802,             0.00802
